id,session_id,question_id,answer_text,is_correct,time_spent,answered_at,flagged_for_review
1,4c475b1d-f480-415b-a141-281adca4afac,113,Yes,True,71,2025-03-01 00:07:24,False
2,4c475b1d-f480-415b-a141-281adca4afac,114,True,True,103,2025-03-01 00:06:36,False
3,4c475b1d-f480-415b-a141-281adca4afac,115,Sample response text,False,50,2025-03-01 00:04:19,True
4,4c475b1d-f480-415b-a141-281adca4afac,116,Yes,True,12,2025-03-01 00:07:09,False
5,4c475b1d-f480-415b-a141-281adca4afac,117,Incorrect answer,False,78,2025-03-01 00:03:30,False
6,4c475b1d-f480-415b-a141-281adca4afac,118,True,True,72,2025-03-01 00:04:57,False
7,4c475b1d-f480-415b-a141-281adca4afac,119,Sample response text,False,79,2025-03-01 00:03:54,True
8,4c475b1d-f480-415b-a141-281adca4afac,120,Sample response text,False,27,2025-03-01 00:05:31,True
9,4c475b1d-f480-415b-a141-281adca4afac,121,Different answer,False,93,2025-03-01 00:03:28,True
10,4c475b1d-f480-415b-a141-281adca4afac,122,Yes,True,72,2025-03-01 00:04:56,False
11,4c475b1d-f480-415b-a141-281adca4afac,123,Sample response text,False,50,2025-03-01 00:04:56,True
12,4c475b1d-f480-415b-a141-281adca4afac,124,Red,True,87,2025-03-01 00:03:58,False
13,b065af9b-20e2-4efc-8cab-9bfa167e92b6,253,,False,36,2025-03-01 00:10:35,False
14,b065af9b-20e2-4efc-8cab-9bfa167e92b6,254,,False,56,2025-03-01 00:07:43,False
15,b065af9b-20e2-4efc-8cab-9bfa167e92b6,255,,False,113,2025-03-01 00:08:33,False
16,b065af9b-20e2-4efc-8cab-9bfa167e92b6,256,,False,57,2025-03-01 00:10:14,False
17,b065af9b-20e2-4efc-8cab-9bfa167e92b6,257,,False,35,2025-03-01 00:10:12,False
18,b065af9b-20e2-4efc-8cab-9bfa167e92b6,258,,False,76,2025-03-01 00:07:17,False
19,b065af9b-20e2-4efc-8cab-9bfa167e92b6,259,,False,110,2025-03-01 00:09:17,False
20,b065af9b-20e2-4efc-8cab-9bfa167e92b6,260,,False,39,2025-03-01 00:09:21,False
21,b065af9b-20e2-4efc-8cab-9bfa167e92b6,261,,False,76,2025-03-01 00:07:51,False
22,044d7332-2453-4722-ac1d-085ca56245b0,296,A,True,14,2025-03-01 00:13:41,False
23,044d7332-2453-4722-ac1d-085ca56245b0,297,Red,True,17,2025-03-01 00:11:45,False
24,044d7332-2453-4722-ac1d-085ca56245b0,298,Sample response text,False,78,2025-03-01 00:13:23,True
25,044d7332-2453-4722-ac1d-085ca56245b0,299,Sample response text,False,112,2025-03-01 00:11:44,True
26,044d7332-2453-4722-ac1d-085ca56245b0,300,A,True,120,2025-03-01 00:11:11,False
27,044d7332-2453-4722-ac1d-085ca56245b0,301,True,True,86,2025-03-01 00:11:30,False
28,044d7332-2453-4722-ac1d-085ca56245b0,302,Incorrect answer,False,59,2025-03-01 00:12:26,False
29,044d7332-2453-4722-ac1d-085ca56245b0,303,A,True,25,2025-03-01 00:13:14,False
30,044d7332-2453-4722-ac1d-085ca56245b0,304,A,True,69,2025-03-01 00:12:56,False
31,044d7332-2453-4722-ac1d-085ca56245b0,305,False,True,45,2025-03-01 00:10:36,False
32,044d7332-2453-4722-ac1d-085ca56245b0,306,Sample response text,False,68,2025-03-01 00:12:46,True
33,044d7332-2453-4722-ac1d-085ca56245b0,307,True,True,42,2025-03-01 00:11:55,False
34,7f798cab-582e-44a4-9b60-1a5754a93f2b,296,,False,31,2025-03-01 00:15:38,False
35,7f798cab-582e-44a4-9b60-1a5754a93f2b,297,,False,119,2025-03-01 00:16:12,False
36,7f798cab-582e-44a4-9b60-1a5754a93f2b,298,,False,15,2025-03-01 00:12:57,False
37,7f798cab-582e-44a4-9b60-1a5754a93f2b,299,,False,21,2025-03-01 00:15:38,False
38,7f798cab-582e-44a4-9b60-1a5754a93f2b,300,,False,51,2025-03-01 00:14:05,False
39,7f798cab-582e-44a4-9b60-1a5754a93f2b,301,,False,19,2025-03-01 00:14:17,False
40,7f798cab-582e-44a4-9b60-1a5754a93f2b,302,,False,95,2025-03-01 00:14:49,False
41,7f798cab-582e-44a4-9b60-1a5754a93f2b,303,,False,82,2025-03-01 00:15:37,False
42,7f798cab-582e-44a4-9b60-1a5754a93f2b,304,,False,98,2025-03-01 00:14:32,False
43,7f798cab-582e-44a4-9b60-1a5754a93f2b,305,,False,46,2025-03-01 00:16:10,False
44,7f798cab-582e-44a4-9b60-1a5754a93f2b,306,,False,66,2025-03-01 00:16:16,False
45,7f798cab-582e-44a4-9b60-1a5754a93f2b,307,,False,105,2025-03-01 00:12:48,False
46,c8382101-f6a9-4280-81f0-2c8e9c0d773c,154,,False,15,2025-03-02 00:18:30,False
47,c8382101-f6a9-4280-81f0-2c8e9c0d773c,155,,False,37,2025-03-02 00:18:08,False
48,c8382101-f6a9-4280-81f0-2c8e9c0d773c,156,,False,115,2025-03-02 00:16:18,False
49,c8382101-f6a9-4280-81f0-2c8e9c0d773c,157,,False,118,2025-03-02 00:17:16,False
50,c8382101-f6a9-4280-81f0-2c8e9c0d773c,158,,False,40,2025-03-02 00:16:46,False
51,c8382101-f6a9-4280-81f0-2c8e9c0d773c,159,,False,44,2025-03-02 00:16:30,False
52,c8382101-f6a9-4280-81f0-2c8e9c0d773c,160,,False,56,2025-03-02 00:17:17,False
53,c8382101-f6a9-4280-81f0-2c8e9c0d773c,161,,False,85,2025-03-02 00:19:46,False
54,c8382101-f6a9-4280-81f0-2c8e9c0d773c,162,,False,101,2025-03-02 00:15:23,False
55,23824481-4090-4706-b736-ca094dd0ad42,211,Sample response text,False,110,2025-03-02 00:18:14,True
56,23824481-4090-4706-b736-ca094dd0ad42,212,True,True,65,2025-03-02 00:22:06,False
57,23824481-4090-4706-b736-ca094dd0ad42,213,Different answer,False,106,2025-03-02 00:19:28,True
58,23824481-4090-4706-b736-ca094dd0ad42,214,Incorrect answer,False,88,2025-03-02 00:20:53,False
59,23824481-4090-4706-b736-ca094dd0ad42,215,Sample response text,False,22,2025-03-02 00:22:12,True
60,23824481-4090-4706-b736-ca094dd0ad42,216,Sample response text,False,38,2025-03-02 00:22:26,True
61,23824481-4090-4706-b736-ca094dd0ad42,217,True,True,35,2025-03-02 00:20:31,False
